,Doxycycline,Tetracycline,Minocycline,Erythromycin,Lincomycin,Clindamycin,Quinupristin,Pristinamycin_IA,Virginiamycin_S,Azithromycin,Telithromycin,Dalfopristin,Pristinamycin_IIA,Virginiamycin_M,Tiamulin,Tigecycline,Chloramphenicol,Amikacin,Gentamicin,Tobramycin,Streptomycin
Streptococcus_oralis_GCA_018448775.2_ASM1844877v2_genomic,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_mitis_GCA_965111695.1_G22_genome_genomic,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_gordonii_GCA_000970665.2_ASM97066v2_genomic,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_oralis_GCA_018985495.2_ASM1898549v2_genomic,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_oralis_GCA_018195655.2_ASM1819565v2_genomic,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_oralis_GCA_018985475.2_ASM1898547v2_genomic,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_mitis_GCA_018603625.2_ASM1860362v2_genomic,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_infantis_GCA_021497965.1_ASM2149796v1_genomic,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_gordonii_GCA_002073435.2_ASM207343v2_genomic,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_oralis_GCA_018448725.2_ASM1844872v2_genomic,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_mitis_GCA_965111705.1_E22_genome_genomic,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_oralis_GCA_002386345.1_ASM238634v1_genomic,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_oralis_GCA_016028175.1_ASM1602817v1_genomic,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_oralis_GCA_019458035.2_ASM1945803v2_genomic,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_oralis_GCA_001983955.1_ASM198395v1_genomic,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Streptococcus_mitis_GCA_018603945.2_ASM1860394v2_genomic,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
